"time","lambda","dorsal_fx","medial_fy","proximal_fz","JR3_MX","JR3_MY","JR3_MZ"
0.166,0.247724829565411,-0.379379207731029,0,-0.925241274879897,0,0,0
0.167,0.234222703089549,-0.359671828771605,0,-0.933078868900207,0,0,0
0.168,0.22098550920328,-0.340194029429007,0,-0.940355263898095,0,0,0
0.169,0.208026443029347,-0.320982948786453,0,-0.947084973267105,0,0,0
0.17,0.195358422446742,-0.302074715084156,0,-0.95328425273201,0,0,0
0.171,0.182994075213881,-0.283504344177723,0,-0.958970952027411,0,0,0
0.172,0.170945726380981,-0.265305650303521,0,-0.964164359389532,0,0,0
0.173,0.159225386004183,-0.247511169321428,0,-0.968885040167893,0,0,0
0.174,0.147844737173664,-0.230152094453816,0,-0.973154670860969,0,0,0
0.175,0.13681512436768,-0.213258224393122,0,-0.976995869862659,0,0,0
0.176,0.126147542144146,-0.196857923510926,0,-0.980432026175689,0,0,0
0.177,0.115852624181015,-0.180978093770468,0,-0.983487127305288,0,0,0
0.178,0.105940632676404,-0.165644157823525,0,-0.986185587493011,0,0,0
0.179,0.0964214481190074,-0.150880052662679,0,-0.988552077388191,0,0,0
0.18,0.0873045594390119,-0.136708233102078,0,-0.990611356184709,0,0,0
0.181,0.0785990545493248,-0.123149684274735,0,-0.992388107175329,0,0,0
0.182,0.0703136112865441,-0.110223942262514,0,-0.993906777596425,0,0,0
0.183,0.0624564887607031,-0.0979491219167213,0,-0.995191423554154,0,0,0
0.184,0.0550355191224099,-0.0863419508825776,0,-0.996265560740604,0,0,0
0.185,0.0480580997555882,-0.0754178088098247,0,-0.997152021566584,0,0,0
0.186,0.0415311859036057,-0.0651907707140438,0,-0.9978728192579,0,0,0
0.187,0.0354612837361348,-0.0556736534484941,0,-0.998449019385415,0,0,0
0.188,0.0298544438636622,-0.0468780642539943,0,-0.998900619226857,0,0,0
0.189,0.0247162553061086,-0.0388144503738578,0,-0.999246435291202,0,0,0
0.19,0.0200518399215715,-0.0314921487515155,0,-0.999503999275147,0,0,0
0.191,0.0158658473007465,-0.0249194348694282,0,-0.999689462666176,0,0,0
0.192,0.0121624501321132,-0.0191035698383722,0,-0.999817510158444,0,0,0
0.193,0.0089453400425098,-0.0140508449053739,0,-0.999901282006101,0,0,0
0.194,0.00621772391723818,-0.00976662261555341,0,-0.999952305403955,0,0,0
0.195,0.00398232070337107,-0.00625537393710204,0,-0.999980434957058,0,0,0
0.196,0.00224135869944708,-0.00352071073864197,0,-0.999993802278742,0,0,0
0.197,0.000996573334253348,-0.00156541309348066,0,-0.999998774740173,0,0,0
0.198,0.000249205436913091,-0.000391450974923143,0,-0.999999923383064,0,0,0
0.199,0,0,0,-1,0,0,0
