"time","lambda","dorsal_fx","medial_fy","proximal_fz","JR3_MX","JR3_MY","JR3_MZ"
0.123,0.868564593755889,0,0,-0.868564593755889,0,0,0
0.124,0.857714644223686,0,0,-0.857714644223686,0,0,0
0.125,0.846508116954666,0,0,-0.846508116954666,0,0,0
0.126,0.834956182858928,0,0,-0.834956182858928,0,0,0
0.127,0.823070357155605,0,0,-0.823070357155605,0,0,0
0.128,0.810862487894248,0,0,-0.810862487894248,0,0,0
0.129,0.798344744144428,0,0,-0.798344744144428,0,0,0
0.13,0.785529603865347,0,0,-0.785529603865347,0,0,0
0.131,0.772429841467535,0,0,-0.772429841467535,0,0,0
0.132,0.759058515079039,0,0,-0.759058515079039,0,0,0
0.133,0.745428953528797,0,0,-0.745428953528797,0,0,0
0.134,0.731554743060174,0,0,-0.731554743060174,0,0,0
0.135,0.717449713787897,0,0,-0.717449713787897,0,0,0
0.136,0.703127925911894,0,0,-0.703127925911894,0,0,0
0.137,0.688603655701788,0,0,-0.688603655701788,0,0,0
0.138,0.673891381265991,0,0,-0.673891381265991,0,0,0
0.139,0.659005768119619,0,0,-0.659005768119619,0,0,0
0.14,0.643961654565583,0,0,-0.643961654565583,0,0,0
0.141,0.628774036903448,0,0,-0.628774036903448,0,0,0
0.142,0.613458054480795,0,0,-0.613458054480795,0,0,0
0.143,0.598028974601989,0,0,-0.598028974601989,0,0,0
0.144,0.582502177309399,0,0,-0.582502177309399,0,0,0
0.145,0.56689314005224,0,0,-0.56689314005224,0,0,0
0.146,0.551217422258306,0,0,-0.551217422258306,0,0,0
0.147,0.535490649824008,0,0,-0.535490649824008,0,0,0
0.148,0.519728499538126,0,0,-0.519728499538126,0,0,0
0.149,0.503946683454857,0,0,-0.503946683454857,0,0,0
0.15,0.488160933231688,0,0,-0.488160933231688,0,0,0
0.151,0.472386984447746,0,0,-0.472386984447746,0,0,0
0.152,0.456640560918225,0,0,-0.456640560918225,0,0,0
0.153,0.440937359020546,0,0,-0.440937359020546,0,0,0
0.154,0.42529303204787,0,0,-0.42529303204787,0,0,0
0.155,0.409723174605549,0,0,-0.409723174605549,0,0,0
0.156,0.39424330706609,0,0,-0.39424330706609,0,0,0
0.157,0.378868860098109,0,0,-0.378868860098109,0,0,0
0.158,0.363615159284698,0,0,-0.363615159284698,0,0,0
0.159,0.348497409846564,0,0,-0.348497409846564,0,0,0
0.16,0.333530681485119,0,0,-0.333530681485119,0,0,0
0.161,0.318729893360688,0,0,-0.318729893360688,0,0,0
0.162,0.304109799220754,0,0,-0.304109799220754,0,0,0
0.163,0.289684972693108,0,0,-0.289684972693108,0,0,0
0.164,0.27546979275854,0,0,-0.27546979275854,0,0,0
0.165,0.261478429417555,0,0,-0.261478429417555,0,0,0
0.166,0.247724829565411,0,0,-0.247724829565411,0,0,0
0.167,0.234222703089549,0,0,-0.234222703089549,0,0,0
0.168,0.22098550920328,0,0,-0.22098550920328,0,0,0
0.169,0.208026443029347,0,0,-0.208026443029347,0,0,0
0.17,0.195358422446742,0,0,-0.195358422446742,0,0,0
0.171,0.182994075213881,0,0,-0.182994075213881,0,0,0
0.172,0.170945726380981,0,0,-0.170945726380981,0,0,0
0.173,0.159225386004183,0,0,-0.159225386004183,0,0,0
0.174,0.147844737173664,0,0,-0.147844737173664,0,0,0
0.175,0.13681512436768,0,0,-0.13681512436768,0,0,0
0.176,0.126147542144146,0,0,-0.126147542144146,0,0,0
0.177,0.115852624181015,0,0,-0.115852624181015,0,0,0
0.178,0.105940632676404,0,0,-0.105940632676404,0,0,0
0.179,0.0964214481190074,0,0,-0.0964214481190074,0,0,0
0.18,0.0873045594390119,0,0,-0.0873045594390119,0,0,0
0.181,0.0785990545493248,0,0,-0.0785990545493248,0,0,0
0.182,0.0703136112865441,0,0,-0.0703136112865441,0,0,0
0.183,0.0624564887607031,0,0,-0.0624564887607031,0,0,0
0.184,0.0550355191224099,0,0,-0.0550355191224099,0,0,0
0.185,0.0480580997555882,0,0,-0.0480580997555882,0,0,0
0.186,0.0415311859036057,0,0,-0.0415311859036057,0,0,0
0.187,0.0354612837361348,0,0,-0.0354612837361348,0,0,0
0.188,0.0298544438636622,0,0,-0.0298544438636622,0,0,0
0.189,0.0247162553061086,0,0,-0.0247162553061086,0,0,0
0.19,0.0200518399215715,0,0,-0.0200518399215715,0,0,0
0.191,0.0158658473007465,0,0,-0.0158658473007465,0,0,0
0.192,0.0121624501321132,0,0,-0.0121624501321132,0,0,0
0.193,0.0089453400425098,0,0,-0.0089453400425098,0,0,0
0.194,0.00621772391723818,0,0,-0.00621772391723818,0,0,0
0.195,0.00398232070337107,0,0,-0.00398232070337107,0,0,0
0.196,0.00224135869944708,0,0,-0.00224135869944708,0,0,0
0.197,0.000996573334253348,0,0,-0.000996573334253348,0,0,0
0.198,0.000249205436913091,0,0,-0.000249205436913091,0,0,0
0.199,0,0,0,0,0,0,0
