"","time","lambda","Fx","Fy","Fz","tx"
"39",0.633333333333333,0.872632224837877,8.72623498515629,0,0,0
"40",0.65,0.893026547371394,8.9301761710592,0,0,0
"41",0.666666666666667,0.911838290714916,9.11829172332009,0,0,0
"42",0.683333333333333,0.928991706617489,9.28982416700422,0,0,0
"43",0.7,0.944417724327462,9.44408280150218,0,0,0
"44",0.716666666666667,0.958054228716035,9.58044648173748,0,0,0
"45",0.733333333333333,0.969846310392954,9.6983661192985,0,0,0
"46",0.75,0.979746486807249,9.79736689342381,0,0,0
"47",0.766666666666667,0.987714893442704,9.87705016293769,0,0,0
"48",0.783333333333333,0.993719444338197,9.93709507143754,0,0,0
"49",0.8,0.997735961286542,9.97725983926929,0,0,0
"50",0.816666666666667,0.999748271191593,9.99738273708881,0,0,0
"51",0.833333333333333,0.999748271191593,9.99738273708881,0,0,0
"52",0.85,0.997735961286542,9.97725983926929,0,0,0
"53",0.866666666666667,0.993719444338197,9.93709507143754,0,0,0
"54",0.883333333333333,0.987714893442704,9.87705016293769,0,0,0
"55",0.9,0.979746486807249,9.79736689342381,0,0,0
"56",0.916666666666667,0.969846310392954,9.6983661192985,0,0,0
"57",0.933333333333333,0.958054228716035,9.58044648173748,0,0,0
"58",0.95,0.944417724327462,9.44408280150219,0,0,0
"59",0.966666666666667,0.928991706617488,9.28982416700422,0,0,0
"60",0.983333333333333,0.911838290714916,9.11829172332009,0,0,0
"61",1,0.893026547371394,8.9301761710592,0,0,0
"62",1.01666666666667,0.872632224837877,8.72623498515629,0,0,0
"63",1.03333333333333,0.850737443853161,8.50728936478722,0,0,0
"64",1.05,0.827430366972643,8.27422092668973,0,0,0
"65",1.06666666666667,0.802804843568833,8.02796815520398,0,0,0
"66",1.08333333333333,0.776960031933055,7.76952262332736,0,0,0
"67",1.1,0.75,7.499925,0,0,0
"68",1.11666666666667,0.722033306302887,7.22026085969824,0,0,0
"69",1.13333333333333,0.693172562846564,6.93165631120936,0,0,0
"70",1.15,0.663533981658711,6.63527346318894,0,0,0
"71",1.16666666666667,0.633236906845017,6.33230574475949,0,0,0
"72",1.18333333333333,0.602403334032595,6.02397309999255,0,0,0
"73",1.2,0.571157419136643,5.71151707562451,0,0,0
"74",1.21666666666667,0.539624978428394,5.3961958217861,0,0,0
"75",1.23333333333333,0.507932981917404,5.07927902587585,0,0,0
"76",1.25,0.476209042088129,4.76204279997708,0,0,0
"77",1.26666666666667,0.444580900049495,4.44576454240494,0,0,0
"78",1.28333333333333,0.413175911166535,4.13171779407423,0,0,0
"79",1.3,0.382120532245286,3.82116711039964,0,0,0
"80",1.31666666666667,0.351539812335863,3.51536296937739,0,0,0
"81",1.33333333333333,0.321556889204064,3.21553673635172,0,0,0
"82",1.35,0.292292493499057,2.92289570574122,0,0,0
"83",1.36666666666667,0.263864462613659,2.63861823969032,0,0,0
"84",1.38333333333333,0.236387266194749,2.36384902322087,0,0,0
"85",1.4,0.209971545214401,2.09969445498949,0,0,0
"86",1.41666666666667,0.184723666457739,1.84721819221074,0,0,0
"87",1.43333333333333,0.160745294221434,1.60743686768492,0,0,0
"88",1.45,0.138132980947465,1.38131599617655,0,0,0
"89",1.46666666666667,0.116977778440511,1.16976608662727,0,0,0
"90",1.48333333333333,0.0973648712344706,0.973638975857582,0,0,0
"91",1.5,0.0793732335844094,0.793724398520736,0,0,0
"92",1.51666666666667,0.0630753114651076,0.630746807119929,0,0,0
"93",1.53333333333333,0.0485367308566895,0.485362454893809,0,0,0
"94",1.55,0.0358160334919637,0.358156753316287,0,0,0
"95",1.56666666666667,0.0249644411295273,0.24964191485116,0,0,0
"96",1.58333333333333,0.0160256493018219,0.160254890453289,0,0,0
"97",1.6,0.00903565136864659,0.090355610121329,0,0,0
"98",1.61666666666667,0.00402259358460233,0.0402255335866648,0,0,0
"99",1.63333333333333,0.00100666176405778,0.0100665169744014,0,0,0
"100",1.65,0,0,0,0,0
